ied,motion,ac_y
-12114991.0,0.0,0.0
-12114665.0,6.856042237624024,163.0
-12115965.0,3.421357325974668,-217.63
-12117369.0,6.618083278247923,-755.9537
-12123969.0,2.739524445017423,-791.894163
-12120087.0,0.4634019961199556,-1046.9752213699999
-12134038.0,2.6290440630382363,-1612.6483262999552
-12151789.0,3.7004507182950874,-2513.8789858933005
-12184084.0,7.14389289994665,-4091.1290849224283
-12264795.0,13.061111488741744,-6132.128905185888
-12342325.0,24.716231113759022,-8501.462161588337
-12422848.0,10.2179478111957,-11108.659661183447
-12523834.0,41.66640209379284,-15079.073064571612
-12640229.0,40.64722417596454,-19703.61566725985
-12752310.0,12.809466462555974,-24840.2461772533
-12781362.0,50.41243147285104,-30475.17704881472
-12784650.0,116.88931949245557,-36837.42527832657
-12778590.0,160.91523655374067,-43685.71769220935
-12792267.0,198.6530690630857,-50905.69384862121
-12813964.0,241.30750828468035,-58396.636910135
-12842393.0,276.84031923892553,-65812.67054103364
-12877347.0,317.3693987134759,-73154.5438356233
-12930536.0,299.0880502966236,-80422.99839726707
-12971900.0,281.68296922391005,-87618.7684132944
-12990800.0,302.94442829017044,-94742.58072916145
-12972234.0,297.9708323339569,-101795.15492186983
-12919367.0,46.903278803400326,-108777.20337265113
-12826678.0,46.43424601536617,-115689.43133892462
-12695076.0,45.96990355521234,-122532.53702553538
-12522015.0,45.51020451966019,-129307.21165528003
-12336918.0,45.05510247446364,-136014.13953872724
-12167842.0,44.60455144971888,-142653.99814333997
-12065402.0,392.17370906281553,-149227.45816190657
-12010296.0,459.1381195708484,-154401.85024695355
-11976922.0,393.18768813386055,-158191.16507781798
-11982027.0,297.0464636696331,-160609.2534270398
-12000486.0,207.29680805959674,-161669.82755943545
-12010287.0,116.19273135722597,-161386.46261717504
-12014444.0,10.85091556191037,-159772.59799100328
-12017207.0,60.15640531586632,-156841.5386777593
-12018197.0,79.90247994996685,-152606.45662431564
-12016532.0,88.87385566156763,-147080.3920580725
-12012637.0,124.0129074586182,-140276.25480415783
-12006346.0,42.30654951421775,-132206.8255894502
-11998687.0,114.2670781537804,-122884.7573335557
-11993372.0,128.8728820098254,-113655.90976022014
-11989667.0,48.17485276597017,-104519.35066261793
-11986134.0,60.24012164913415,-95474.15715599175
-11984426.0,354.2904609780978,-86519.41558443183
-11984962.0,321.86599877419553,-77654.22142858751
-11987168.0,247.71134227684888,-68877.67921430164
-11992619.0,77.2920944203106,-60188.902422158615
-12000952.0,65.5884061114698,-51587.01339793703
-12012845.0,194.57215089281794,-43071.14326395766
-12029661.0,273.24285611515666,-34640.431831318085
-12051990.0,275.4892672584099,-26294.027513004905
-12080486.0,226.0710217314786,-18031.087237874857
-12114645.0,272.9837328518429,-9850.776365496109
-12149926.0,311.76303240424136,-1752.2686018411478
-12213913.0,262.00095968128676,5708.92075084331
-12285482.0,223.99034340748017,11762.16487666883
-12350011.0,269.7590085801978,16421.54322790214
-12412799.0,345.1531324025218,19700.994462289163
-12464595.0,269.7126633894045,21614.317851000225
-12494783.0,50.085563028224215,22175.174672490222
-12515342.0,39.15665442450518,21397.089592431366
-12532768.0,120.65915808242903,19293.452029841006
-12545992.0,2.3654331718059893,15877.517509542595
-12550760.0,49.234219719088514,11162.409001113214
-12562190.0,2.0283892838583597,5161.118244436037
-12573573.0,33.71941934466713,-2113.492938008324
-12577273.0,161.4797638371981,-10092.358008628242
-12570387.0,127.62432549898358,-17991.434428541957
-12577292.0,92.5894785206026,-25811.52008425654
-12579912.0,107.48225739228656,-33553.40488341397
-12581464.0,127.35640080939015,-41217.87083457983
-12585816.0,126.08283680129625,-48805.69212623403
-12594892.0,124.82200843328314,-56317.635204971695
-12594793.0,123.5737883489503,-63754.458852921976
-12592330.0,122.33805046546081,-71116.91426439275
-12588524.0,5.1387013934065635,-78405.74512174883
-12583386.0,93.91062912721668,-85621.68767053133
-12579069.0,155.94955658104504,-92765.47079382603
-12577410.0,120.54451055194386,-99837.81608588777
-12578281.0,110.76753423334708,-106839.43792502889
-12576144.0,132.13464226150472,-113771.04354577861
-12571969.0,159.27107926009012,-120633.33311032082
-12565660.0,84.41365081261188,-127426.99977921761
-12566503.0,102.88661788005697,-134152.72978142544
-12567297.0,133.24296941814146,-140811.20248361118
-12564064.0,143.47897645865874,-147403.09045877506
-12549174.0,144.92358089986146,-153929.0595541873
-12518525.0,171.62886649308507,-160389.7689586454
-12489275.0,4.419075386932263,-166785.87126905896
-12549634.0,7.696647707732382,-173118.01255636837
-12588257.0,14.158820101462425,-179386.83243080467
-12584746.0,85.93659924520989,-185592.96410649663
-12555102.0,77.85577544417401,-191737.03446543167
